FUND,Broker Code,BROKER,CAXTON_BROKER_NAME,CSA_TYPE,ACCOUNT,Instrument Type,INST_TYPE_GROUP,DESCRIPTION,TICKER,ISIN,SEDOL,CUSIP,Trade Id,Trade Date,Settle Date,B/S, QUANTITY , Agency , Principal ,PRICE,CURRENCY,FX Spot Rate, COMMISSION ,Rate, Credit 
CI,MLCG,Bank of America,Bank of America,NON CSA,CAX UK,EQTY,Cash Equity,GENMAB A/S,GMAB DC,DK0010272202,4595739,,25064019,1/25/22,1/27/22,S,"3,500","3,500", -   ,2646.2131,DDK,6.1287,"$2,266.81 ",0.0015,"$1,057.84 "
QM,MLAG,Bank of America,Bank of America,NON CSA,CAX UK,EQSWP,Cash Equity,HAMMERSON,HMSO LN,,,S-BK7YQK6,25063125,1/25/22,1/27/22,S,"2,807,415","2,807,415", -   ,0.19353,GBP,1.3663,$296.94 ,0.0004,$148.47 
QM,MLAG,Bank of America,Bank of America,NON CSA,CAX UK,EQSWP,Cash Equity,HAMMERSON,HMSO LN,,,S-BK7YQK6,25064682,1/26/22,1/28/22,S,"2,610,073","2,610,073", -   ,0.201607,GBP,1.3736,$289.12 ,0.0004,$144.56 
CI,MLCG,Bank of America,Bank of America,NON CSA,CAX UK,EQTY,Cash Equity,MERCK KGAA,MRK GY,DE0006599905,4741844,,25065507,1/26/22,1/28/22,S,"10,000","10,000", -   ,143.5242,EU,1.21675,"$2,619.49 ",0.0015,"$1,222.43 "
QM,MLAG,Bank of America,Bank of America,NON CSA,CAX UK,EQSWP,Cash Equity,HAMMERSON,HMSO LN,,,S-BK7YQK6,25068252,1/27/22,1/29/22,S,"64,294","64,294", -   ,0.221729,GBP,1.3681,$7.80 ,0.0004,$3.90 
QM,MLAG,Bank of America,Bank of America,NON CSA,CAX UK,EQSWP,Cash Equity,HAMMERSON,HMSO LN,,,S-BK7YQK6,25066859,1/27/22,1/29/22,S,"601,167","601,167", -   ,0.227865,GBP,1.3681,$74.96 ,0.0004,$37.48 
QM,MLAG,Bank of America,Bank of America,NON CSA,CAX UK,EQSWP,Cash Equity,HAMMERSON,HMSO LN,,,S-BK7YQK6,25066528,1/27/22,1/29/22,S,"2,282,928","2,282,928", -   ,0.212042,GBP,1.3681,$264.91 ,0.0004,$132.46 
CI,MLCG,Bank of America,Bank of America,NON CSA,CAX UK,EQTY,Cash Equity,LINDE AG,LIN GY,IE00BZ12WP82,BYWD9S5,,25066398,1/27/22,1/29/22,S,"10,000","10,000", -   ,206.3762,EU,1.20975,"$3,744.95 ",0.0015,"$1,747.64 "
QM,MLAG,Bank of America,Bank of America,NON CSA,CAX UK,EQSWP,Cash Equity,EDP-ENERGIAS DE PORTUGAL,EDP PL,,,S-4103596,25069956,1/28/22,2/1/22,B,"634,260","634,260", -   ,5.2,EU,1.21325,"$1,600.59 ",0.0004,$800.30 
QM,MLAG,Bank of America,Bank of America,NON CSA,CAX UK,EQSWP,Cash Equity,SCOTTISH & SOUTHERN,SSE LN,,,S-0790873,25069951,1/28/22,2/1/22,B,"194,837","194,837", -   ,14.936085,GBP,1.3741,"$1,599.51 ",0.0004,$799.76 
CI,MLCG,Bank of America,Bank of America,NON CSA,CAX UK,EQTY,Cash Equity,ASML HOLDING N.V.,ASML NA,NL0010273215,B929F46,,25073498,1/29/22,2/2/22,B,"3,000","3,000", -   ,444.5539,EU,1.21325,"$2,427.09 ",0.0015,"$1,132.64 "
QM,MLAG,Bank of America,Bank of America,NON CSA,CAX UK,EQTY,Cash Equity,DAIMLERCHRYSLER AG-R,DAI GY,DE0007100000,5529027,,25073499,1/29/22,2/2/22,B,"50,000","50,000", -   ,58.5826,EU,1.21325,"$1,421.50 ",0.0004,$710.75 
QM,MLAG,Bank of America,Bank of America,NON CSA,CAX UK,EQSWP,Cash Equity,EDP-ENERGIAS DE PORTUGAL,EDP PL,,,S-4103596,25072104,1/29/22,2/2/22,B,"79,345","79,345", -   ,5.21,EU,1.21325,$206.93 ,0.0004,$103.47 
QM,MLAG,Bank of America,Bank of America,NON CSA,CAX UK,EQSWP,Cash Equity,EDP-ENERGIAS DE PORTUGAL,EDP PL,,,S-4103596,25072433,1/29/22,2/2/22,B,"192,382","192,382", -   ,5.2016,EU,1.21325,$500.93 ,0.0004,$250.47 
CI,MLCG,Bank of America,Bank of America,NON CSA,CAX UK,EQTY,Cash Equity,SWISSCOM AG-REG,SCMN SW,CH0008742519,5533976,,25072986,1/29/22,2/2/22,B,"3,250","3,250", -   ,489.8162,SWF,0.8903,"$2,682.07 ",0.0015,"$1,251.63 "
QM,MLAG,Bank of America,Bank of America,NON CSA,CAX UK,EQSWP,Cash Equity,SCOTTISH & SOUTHERN,SSE LN,,,S-0790873,25071375,1/29/22,2/2/22,B,"176,292","176,292", -   ,14.915389,GBP,1.3707,"$1,441.69 ",0.0004,$720.85 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,APPLE INC,AAPL,,2046251,37833100,25064222,1/25/22,1/27/22,S,"25,000","25,000", -   ,142.4207,USD,1,$750.00 ,0.03,$650.00 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQSWP,Cash Equity,BNP PARIBAS,BNP FP,,,S-7309681,25064431,1/25/22,1/27/22,S,244,244, -   ,42.7472,EU,1.21385,$10.12 ,0.0008,$7.59 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,ETF,Cash Equity,ISHARES MSCI S KOREA,EWY,,2592561,464286772,25063343,1/25/22,1/27/22,S,"75,000","75,000", -   ,95.1895,USD,1,"$2,250.00 ",0.03,"$1,950.00 "
QM,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,HARMONY BIOSCIENCES HOLDINGS,HRMY,,,413197104,25064481,1/25/22,1/27/22,S,"8,562","8,562", -   ,36.8734,USD,1,$256.86 ,0.03,$222.61 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,INTEL CORPORATION,INTC,,2463247,458140100,25063969,1/25/22,1/27/22,S,"50,000","50,000", -   ,54.9787,USD,1,"$1,500.00 ",0.03,"$1,300.00 "
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,LAM RESEARCH,LRCX,,,512807108,25063265,1/25/22,1/27/22,S,"5,000","5,000", -   ,564.8168,USD,1,$150.00 ,0.03,$130.00 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,MICROSOFT CORP,MSFT,,2588173,594918104,25064214,1/25/22,1/27/22,S,"15,000","15,000", -   ,227.5841,USD,1,$450.00 ,0.03,$390.00 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,MICRON TECHNOLOGY,MU,,2588184,595112103,25064422,1/25/22,1/27/22,S,"25,000","25,000", -   ,80.7752,USD,1,$750.00 ,0.03,$650.00 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,ON SEMICONDUCTOR CORP,ON,,2583576,682189105,25064423,1/25/22,1/27/22,S,"50,000","50,000", -   ,36.6732,USD,1,"$1,500.00 ",0.03,"$1,300.00 "
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQSWP,Cash Equity,PUBLICIS GROUPE,PUB FP,,,S-4380429,25063973,1/25/22,1/27/22,S,78,78, -   ,43.46,EU,1.21385,$3.29 ,0.0008,$2.47 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,SCHLUMBERGER LTD,SLB,,2779201,806857108,25062824,1/25/22,1/27/22,S,"150,000","150,000", -   ,23.4932,USD,1,"$4,500.00 ",0.03,"$3,900.00 "
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,ETF,Cash Equity,VANECK VECTORS SEMICONDUCTOR,SMH,,BZ6C639,92189F676,25063046,1/25/22,1/27/22,B,"20,000","20,000", -   ,240.7486,USD,1,$600.00 ,0.03,$520.00 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,TARGET CORPORATION,TGT,,2259101,8.76E+110,25063974,1/25/22,1/27/22,S,"17,500","17,500", -   ,190.4705,USD,1,$525.00 ,0.03,$455.00 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,DR,Cash Equity,TAIWAN SEMI ADR 144A,TSM,,2113382,874039100,25064450,1/25/22,1/27/22,S,"20,000","20,000", -   ,129.846,USD,1,$600.00 ,0.03,$520.00 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,UNITEDHEALTH GRP INC,UNH,,2917766,91324P102,25064018,1/25/22,1/27/22,S,"10,000","10,000", -   ,347.0954,USD,1,$300.00 ,0.03,$260.00 
QM,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,VERTEX INC - CLASS A,VERX,,BMX6DM1,92538J106,25063534,1/25/22,1/27/22,B,"15,626","15,626", -   ,34.41,USD,1,$468.78 ,0.03,$406.28 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,APPLE INC,AAPL,,2046251,37833100,25065977,1/26/22,1/28/22,S,"7,000","7,000", -   ,142.6518,USD,1,$210.00 ,0.03,$182.00 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,APPLE INC,AAPL,,2046251,37833100,25064879,1/26/22,1/28/22,S,"24,600","24,600", -   ,142.7034,USD,1,$738.00 ,0.03,$639.60 
QM,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,ALVARION LIMITED,ALVR,,BL9XBL4,19818103,25065080,1/26/22,1/28/22,B,"18,185","18,185", -   ,40.0206,USD,1,$545.55 ,0.03,$472.81 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,AMAZON.COM INC,AMZN,,2000019,23135106,25066001,1/26/22,1/28/22,B,900,900, -   ,3325.0956,USD,1,$27.00 ,0.03,$23.40 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,THE WALT DISNEY CO.,DIS,,2270726,254687106,25065978,1/26/22,1/28/22,S,"45,300","45,300", -   ,170.1099,USD,1,"$1,359.00 ",0.03,"$1,177.80 "
QM,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,HARMONY BIOSCIENCES HOLDINGS,HRMY,,,413197104,25065310,1/26/22,1/28/22,S,"12,768","12,768", -   ,36.2914,USD,1,$383.04 ,0.03,$331.97 
QM,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,DR,Cash Equity,LI AUTO INC - ADR,LI,,BMXHCD8,50202M102,25066182,1/26/22,1/28/22,B,"308,071","308,071", -   ,32.6708,USD,1,"$9,242.13 ",0.03,"$8,009.85 "
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,SONOS INC,SONO,,BYWPZW7,83570H108,25065087,1/26/22,1/28/22,S,"184,800","184,800", -   ,26.8904,USD,1,"$5,544.00 ",0.03,"$4,804.80 "
QM,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,VERTEX INC - CLASS A,VERX,,BMX6DM1,92538J106,25065070,1/26/22,1/28/22,B,"6,877","6,877", -   ,33.9062,USD,1,$206.31 ,0.03,$178.80 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,CHARTER COMMUNICATIONS INC,CHTR,,BZ6VT82,16119P108,25066739,1/27/22,1/29/22,S,"7,700","7,700", -   ,626.0273,USD,1,$231.00 ,0.03,$200.20 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,CYBER-ARK SOFTWARE LTD/ISRAEL,CYBR,IL0011334468,BQT3XY6,,25068254,1/27/22,1/29/22,B,"15,000","15,000", -   ,164.9893,USD,1,$450.00 ,0.03,$390.00 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,ELECTRONIC ARTS INC,EA,,2310194,285512109,25068480,1/27/22,1/29/22,B,"34,200","34,200", -   ,146.8506,USD,1,"$1,026.00 ",0.03,$889.20 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,ELECTRONIC ARTS INC,EA,,2310194,285512109,25066740,1/27/22,1/29/22,B,"38,800","38,800", -   ,146.6605,USD,1,"$1,164.00 ",0.03,"$1,008.80 "
QM,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,HARMONY BIOSCIENCES HOLDINGS,HRMY,,,413197104,25068245,1/27/22,1/29/22,S,"3,108","3,108", -   ,35.5117,USD,1,$93.24 ,0.03,$80.81 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,INTUIT INC,INTU,,2459020,461202103,25068844,1/27/22,1/29/22,S,"13,300","13,300", -   ,369.9039,USD,1,$399.00 ,0.03,$345.80 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,MICROSOFT CORP,MSFT,,2588173,594918104,25068959,1/27/22,1/29/22,B,"3,996","3,996", -   ,238.9248,USD,1,$119.88 ,0.03,$103.90 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,SHOPIFY INC - A W/I,SHOP,,BXDZ9Z0,82509L107,25067481,1/27/22,1/29/22,S,"3,400","3,400", -   ,1093.8249,USD,1,$102.00 ,0.03,$88.40 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,VISA INC-CLASS A SHARES,V,,B2PZN04,92826C839,25067483,1/27/22,1/29/22,S,"23,800","23,800", -   ,196.5313,USD,1,$714.00 ,0.03,$618.80 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,ZOOM VIDEO COMMUNICATIONS-A,ZM,,BGSP7M9,98980L101,25066771,1/27/22,1/29/22,B,"9,040","9,040", -   ,377.51,USD,1,$271.20 ,0.03,$235.04 
CI,CGCG,Citigroup,Citigroup,NON CSA,CAX UK,EQSWP,Cash Equity,CD PROJEKT SA SWAP,CDR PW,,,S-7302215,25069474,1/28/22,2/1/22,S,"15,000","15,000", -   ,356.2119,PLZ,3.7406,"$2,142.57 ",0.0015,$999.87 
CI,CGCG,Citigroup,Citigroup,NON CSA,CAX UK,EQSWP,Cash Equity,CD PROJEKT SA SWAP,CDR PW,,,S-7302215,25070783,1/28/22,2/1/22,S,"30,000","30,000", -   ,318.3721,PLZ,3.7406,"$3,830.40 ",0.0015,"$1,787.52 "
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQSWP,Cash Equity,TELEPERFORMANCE SWAP,TEP FP,,,S-5999330,25069711,1/28/22,2/1/22,B,"1,500","1,500", -   ,272.7733,EU,1.21325,$397.13 ,0.0008,$297.85 
CI,CGCG,Citigroup,Citigroup,NON CSA,CAX UK,EQSWP,Cash Equity,UBISOFT ENTERTAINMNT,UBI FP,,,S-B1L3CS6,25069713,1/28/22,2/1/22,B,"25,000","25,000", -   ,81.6432,EU,1.21325,"$3,714.51 ",0.0015,"$1,733.44 "
CI,CGCG,Citigroup,Citigroup,NON CSA,CAX UK,EQSWP,Cash Equity,CD PROJEKT SA SWAP,CDR PW,,,S-7302215,25071922,1/29/22,2/2/22,B,"22,500","22,500", -   ,346.1985,PLZ,3.72805,"$3,134.15 ",0.0015,"$1,462.60 "
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,ETF,Cash Equity,ISHARES MSCI S KOREA,EWY,,2592561,464286772,25072623,1/29/22,2/2/22,B,"25,000","25,000", -   ,88.6936,USD,1,$750.00 ,0.03,$650.00 
CI,CGAG,Citigroup,Citigroup,NON CSA,CAX UK,EQTY,Cash Equity,NETFLIX INC,NFLX,,2857817,64110L106,25073834,1/29/22,2/2/22,B,"5,000","5,000", -   ,534.0954,USD,1,$150.00 ,0.03,$130.00 
CI,CSAG,Credit Suisse,Credit Suisse,NON CSA,CAX UK,EQTY,Cash Equity,ADOBE SYSTEMS INC,ADBE,,2008154,00724F101,25066203,1/26/22,1/28/22,B,"6,400","6,400", -   ,476.0846,USD,1,$192.00 ,0.03,$166.40 
CI,CSAG,Credit Suisse,Credit Suisse,NON CSA,CAX UK,EQTY,Cash Equity,LUMINAR TECHNOLOGIES INC,LAZR,,BNG96D6,550424105,25065274,1/26/22,1/28/22,S,"76,452","76,452", -   ,35.5795,USD,1,"$2,293.56 ",0.03,"$1,987.75 "
CI,CSAG,Credit Suisse,Credit Suisse,NON CSA,CAX UK,EQTY,Cash Equity,MICROSOFT CORP,MSFT,,2588173,594918104,25065275,1/26/22,1/28/22,S,"6,400","6,400", -   ,232.9005,USD,1,$192.00 ,0.03,$166.40 
CI,CSAG,Credit Suisse,Credit Suisse,NON CSA,CAX UK,EQTY,Cash Equity,OMNICOM GROUP,OMC,,2279303,681919106,25064652,1/26/22,1/28/22,S,"35,036","35,036", -   ,64.5525,USD,1,"$1,051.08 ",0.03,$910.94 
CI,CSAG,Credit Suisse,Credit Suisse,NON CSA,CAX UK,DR,Cash Equity,SEA LTD - ADR,SE,,BYWD7L4,81141R100,25066184,1/26/22,1/28/22,S,"14,700","14,700", -   ,218.6457,USD,1,$441.00 ,0.03,$382.20 
CI,CSAG,Credit Suisse,Credit Suisse,NON CSA,CAX UK,EQTY,Cash Equity,AIRBNB INC-CLASS A,ABNB,,BMGYYH4,9066101,25068840,1/27/22,1/29/22,S,"12,600","12,600", -   ,195.5588,USD,1,$378.00 ,0.03,$327.60 
CI,CSAG,Credit Suisse,Credit Suisse,NON CSA,CAX UK,EQTY,Cash Equity,ALPHABET INC-CL A,GOOGL,,BYVY8G0,02079K305,25068244,1/27/22,1/29/22,B,"1,000","1,000", -   ,1813.998,USD,1,$30.00 ,0.03,$26.00 
QM,CSCG,Credit Suisse,Credit Suisse,NON CSA,CAX UK,EQSWP,Cash Equity,EDP-ENERGIAS DE PORTUGAL,EDP PL,,,S-4103596,25071037,1/28/22,2/1/22,B,"450,000","450,000", -   ,5.1805,EU,1.21325,"$4,242.54 ",0.0015,"$1,979.85 "
CI,CSCG,Credit Suisse,Credit Suisse,NON CSA,CAX UK,EQSWP,Cash Equity,CAP GEMINI SA,CAP FP,,,S-4163437,25073140,1/29/22,2/2/22,B,"25,000","25,000", -   ,120.0391,EU,1.21325,"$5,461.41 ",0.0015,"$2,548.66 "
QM,CSCG,Credit Suisse,Credit Suisse,NON CSA,CAX UK,EQSWP,Cash Equity,EDP-ENERGIAS DE PORTUGAL,EDP PL,,,S-4103596,25072432,1/29/22,2/2/22,B,"450,000","450,000", -   ,5.1872,EU,1.21325,"$4,248.03 ",0.0015,"$1,982.41 "
CI,CSCG,Credit Suisse,Credit Suisse,NON CSA,CAX UK,EQTY,Cash Equity,ASSICURAZIONI GEN,G IM,IT0000062072,4056719,,25072435,1/29/22,2/2/22,B,"200,000","200,000", -   ,14.1353,EU,1.21325,"$5,144.90 ",0.0015,"$2,400.95 "
CI,CSCG,Credit Suisse,Credit Suisse,NON CSA,CAX UK,EQTY,Cash Equity,RWE AG,RWE GY,DE0007037129,4768962,,25073142,1/29/22,2/2/22,B,"75,000","75,000", -   ,35.8235,EU,1.21325,"$4,889.57 ",0.0015,"$2,281.80 "
CI,GSAG,Goldman Sachs,Goldman Sachs,NON CSA,CAX UK,EQTY,Cash Equity,ADECCO SA-REG,ADEN SW,CH0012138605,7110720,,25063121,1/25/22,1/27/22,S,"40,000","25,580","14,420",57.0719,SWF,0.8882,"$2,056.18 ",0.0008,$986.20 
CI,GSAG,Goldman Sachs,Goldman Sachs,NON CSA,CAX UK,EQTY,Cash Equity,BASF AG,BAS GY,DE000BASF111,5086577,,25063122,1/25/22,1/27/22,S,"15,000","14,608",392,64.7381,EU,1.21385,$942.99 ,0.0008,$688.76 
CI,GSAG,Goldman Sachs,Goldman Sachs,NON CSA,CAX UK,EQTY,Cash Equity,NORDEA BANK ABP,NDA SS,FI4000297767,BYZF9J9,,25063284,1/25/22,1/27/22,S,"300,000","216,123","83,877",69.5444,SEK,8.28735,"$2,013.99 ",0.0008,"$1,088.17 "
CI,GSCG,Goldman Sachs,Goldman Sachs,NON CSA,CAX UK,EQSWP,Cash Equity,PUBLICIS GROUPE,PUB FP,,,S-4380429,25063972,1/25/22,1/27/22,S,"24,922","24,922", -   ,43.0419,EU,1.21385,"$1,953.13 ",0.0015,$910.83 
CI,GSAG,Goldman Sachs,Goldman Sachs,NON CSA,CAX UK,EQTY,Cash Equity,ASML HOLDING N.V.,ASML NA,NL0010273215,B929F46,,25067230,1/27/22,1/29/22,B,"2,000","1,777",223,445.5471,EU,1.20975,$862.41 ,0.0008,$574.69 
CI,GSCG,Goldman Sachs,Goldman Sachs,NON CSA,CAX UK,EQSWP,Cash Equity,GOLDMAN GSSBUTRE BSKT,GSSBUTRE,,,,25068148,1/27/22,1/29/22,B,"1,100", -   ,"1,100",1967.0387,EU,1.20975,"$2,617.54 ",0.001, $-   
CI,GSAG,Goldman Sachs,Goldman Sachs,NON CSA,CAX UK,EQTY,Cash Equity,UNIBAIL-RODAMCO-WESTFIELD,URW NA,FR0013326246,BFYM460,,25067220,1/27/22,1/29/22,S,"5,000","4,747",253,69.7518,EU,1.20975,$337.53 ,0.0008,$240.34 
QM,GSCG,Goldman Sachs,Goldman Sachs,NON CSA,CAX UK,EQSWP,Cash Equity,EDP-ENERGIAS DE PORTUGAL,EDP PL,,,S-4103596,25073501,1/29/22,2/2/22,B,"1,000,000", -   ,"1,000,000",5.2432,EU,1.21325,"$9,556.77 ",0.0015, $-   
QM,JPAG,JPM Chase,JPM Chase,NON CSA,CAX UK,EQTY,Cash Equity,AMEREN CORPORATION,AEE,,2050832,23608102,25063562,1/25/22,1/27/22,B,"79,009","79,009", -   ,74.4271,USD,1,"$2,370.27 ",0.03,"$2,054.23 "
QM,JPAG,JPM Chase,JPM Chase,NON CSA,CAX UK,EQTY,Cash Equity,AMER ELECTRIC POWER,AEP,,2026242,25537101,25063784,1/25/22,1/27/22,B,"74,467","74,467", -   ,82.4534,USD,1,"$2,234.01 ",0.03,"$1,936.14 "
QM,JPAG,JPM Chase,JPM Chase,NON CSA,CAX UK,EQTY,Cash Equity,AES CORPORATION,AES,,2002479,00130H105,25063096,1/25/22,1/27/22,S,"303,665","303,665", -   ,26.3038,USD,1,"$9,109.95 ",0.03,"$7,895.29 "
QM,JPAG,JPM Chase,JPM Chase,NON CSA,CAX UK,EQTY,Cash Equity,ATMOS ENERGY CORP,ATO,,,49560105,25062866,1/25/22,1/27/22,B,"73,044","73,044", -   ,90.5142,USD,1,"$2,191.32 ",0.03,"$1,899.14 "
QM,JPAG,JPM Chase,JPM Chase,NON CSA,CAX UK,EQTY,Cash Equity,CMS ENERGY CORP,CMS,,2219224,125896100,25063993,1/25/22,1/27/22,B,"104,327","104,327", -   ,59.3507,USD,1,"$3,129.81 ",0.03,"$2,712.50 "
QM,JPAG,JPM Chase,JPM Chase,NON CSA,CAX UK,EQTY,Cash Equity,CENTERPOINT ENERGY I,CNP,,2440637,15189T107,25063994,1/25/22,1/27/22,S,"200,495","200,495", -   ,21.6859,USD,1,"$6,014.85 ",0.03,"$5,212.87 "
QM,JPAG,JPM Chase,JPM Chase,NON CSA,CAX UK,EQTY,Cash Equity,CLEARWAY ENERGY INC-C,CWEN,,BGJRH57,18539C204,25064437,1/25/22,1/27/22,S,"135,300","135,300", -   ,34.6775,USD,1,"$4,059.00 ",0.03,"$3,517.80 "
QM,JPAG,JPM Chase,JPM Chase,NON CSA,CAX UK,EQTY,Cash Equity,DOMINION RES INC/VA,D,,2542049,25746U109,25063539,1/25/22,1/27/22,S,"57,423","57,423", -   ,73.0505,USD,1,"$1,722.69 ",0.03,"$1,493.00 "
CI,JPAG,JPM Chase,JPM Chase,NON CSA,CAX UK,EQTY,Cash Equity,DEERE & COMPANY,DE,,2261203,244199105,25063752,1/25/22,1/27/22,S,"15,000","15,000", -   ,299.2222,USD,1,$450.00 ,0.03,$390.00 
CI,JPAG,JPM Chase,JPM Chase,NON CSA,CAX UK,EQTY,Cash Equity,DOLLAR TREE INC,DLTR,,2272476,256746108,25063984,1/25/22,1/27/22,S,"37,500","37,500", -   ,106.4882,USD,1,"$1,125.00 ",0.03,$975.00 
QM,JPAG,JPM Chase,JPM Chase,NON CSA,CAX UK,EQTY,Cash Equity,DTE ENERGY COMPANY,DTE,,,233331107,25063093,1/25/22,1/27/22,S,"35,992","35,992", -   ,123.0304,USD,1,"$1,079.76 ",0.03,$935.79 
QM,JPAG,JPM Chase,JPM Chase,NON CSA,CAX UK,EQTY,Cash Equity,DUKE ENERGY CORP,DUK,,B7VD3F2,26441C204,25062862,1/25/22,1/27/22,S,"47,810","47,810", -   ,92.1008,USD,1,"$1,434.30 ",0.03,"$1,243.06 "
QM,JPAG,JPM Chase,JPM Chase,NON CSA,CAX UK,EQTY,Cash Equity,CONSOLIDATED EDISON,ED,,,209115104,25064458,1/25/22,1/27/22,B,"87,037","87,037", -   ,70.1213,USD,1,"$2,611.11 ",0.03,"$2,262.96 "
QM,JPAG,JPM Chase,JPM Chase,NON CSA,CAX UK,ETF,Cash Equity,ISHARES MSCI EMERGING MARKET,EEM,,2582409,464287234,25062864,1/25/22,1/27/22,S,"103,300","103,300", -   ,56.3186,USD,1,"$3,099.00 ",0.03,"$2,685.80 "
QM,JPAG,JPM Chase,JPM Chase,NON CSA,CAX UK,ETF,Cash Equity,ISHARES MSCI EMERGING MARKET,EEM,,2582409,464287234,25064022,1/25/22,1/27/22,S,"158,409","158,409", -   ,56.3753,USD,1,"$4,752.27 ",0.03,"$4,118.63 "
QM,JPAG,JPM Chase,JPM Chase,NON CSA,CAX UK,ETF,Cash Equity,ISHARES MSCI EMERGING MARKET,EEM,,2582409,464287234,25063561,1/25/22,1/27/22,S,"600,000","600,000", -   ,56.4394,USD,1,"$18,000.00 ",0.03,"$15,600.00 "
QM,JPAG,JPM Chase,JPM Chase,NON CSA,CAX UK,EQTY,Cash Equity,EDISON INTERNATIONAL,EIX,,2829515,281020107,25063094,1/25/22,1/27/22,B,"100,198","100,198", -   ,59.5227,USD,1,"$3,005.94 ",0.03,"$2,605.15 "
QM,JPAG,JPM Chase,JPM Chase,NON CSA,CAX UK,EQTY,Cash Equity,ENERGYSOLUTIONS INC,ES,,BVVN4Q8,30040W108,25063095,1/25/22,1/27/22,S,"51,334","51,334", -   ,89.478,USD,1,"$1,540.02 ",0.03,"$1,334.68 "
QM,JPAG,JPM Chase,JPM Chase,NON CSA,CAX UK,EQTY,Cash Equity,ENTERGY CORP,ETR,,,29364G103,25064252,1/25/22,1/27/22,B,"62,180","62,180", -   ,94.7715,USD,1,"$1,865.40 ",0.03,"$1,616.68 "
QM,JPAG,JPM Chase,JPM Chase,NON CSA,CAX UK,EQTY,Cash Equity,EXELON CORPORATION,EXC,,2670519,30161N101,25064023,1/25/22,1/27/22,S,"102,346","102,346", -   ,42.6662,USD,1,"$3,070.38 ",0.03,"$2,661.00 "
CI,JPAG,JPM Chase,JPM Chase,NON CSA,CAX UK,EQTY,Cash Equity,ALPHABET INC-CL A,GOOGL,,BYVY8G0,02079K305,25063985,1/25/22,1/27/22,S,"2,000","2,000", -   ,1877.4479,USD,1,$60.00 ,0.03,$52.00 
CI,JPAG,JPM Chase,JPM Chase,NON CSA,CAX UK,EQTY,Cash Equity,GOLDMAN SACHS GROUP INC,GS,,2407966,38141G104,25063060,1/25/22,1/27/22,S,"20,000","20,000", -   ,281.5849,USD,1,$600.00 ,0.03,$520.00 
